Title,Channel,Published_Date,Description,View,Likes,Comment,Duration,Video_id
3 Step Skin Care Routine For Men,Pierre Dalati,2024-12-31T18:05:59Z,,1700208,97692,392,PT1M,mbHa3ypvAxI
GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,2024-09-05T03:28:00Z,,8640617,440358,1118,PT1M,uSCUNfwMOJs
Natural korean skincare routine for teenagers 🎀💫 #aethetic #skincare #beauty #teen,xthetic_queen,2024-12-31T10:35:31Z,,1368233,44663,449,PT15S,75HchpfHkjo
"my 18 y/o sister PICKY skincare routine 🫣😯 (sensitive, dry, & eczema prone)",Wendyskin,2023-04-10T22:01:37Z,,23359147,922266,1686,PT43S,xnQvacUIQmM
4 Beauty Secrets for Perfect Hair & Glowing Skin | Must-Have Essentials🤩 #selfcare #skincare #shorts,Skin care by Skin Secrets,2025-02-15T00:20:03Z,"4 Beauty Secrets for Perfect Hair & Glowing Skin | Must-Have Essentials🤩 
🛍️ Products Link 🔗:  https://linktr.ee/SkinSecrets05
⛔ Don't forget to subscribe for more beauty hacks and tips! 😉 

#BeautySecrets  #GuaShaGlow #ScalpBrushMagic #MielleMiracle #GlassSkinRoutine #BeautyHacks #HairGrowthTips  #SkincareMustHaves  #BeautyEssentials  #HairCareRoutine #GlowUpSecrets  #SelfCareRoutine #shorts #selfcare #skincare",4539238,226329,308,PT16S,RBtXvZb7w7s
Teenager skincare tips I wish I knew 10 years ago,leeskin,2024-10-22T10:00:56Z,,966692,63891,429,PT44S,xJsJUm8p94E
SKINCARE… I KNOW,Kenzie Yolles,2025-01-25T19:36:51Z,,406716,20393,104,PT14S,Z7TuK434RhA
Need tips on how to fit this into my suitcase🥺 I LOVE GIANT SKINCARE,milky🥛,2024-12-19T17:01:02Z,"#arencia #mochicleanser #ricemochicleanser #riceskincare #koreanskincare #ricemochicleanser #cleanser #acne #ricewater #skintok #skincaretip #giantskincare


Products linked here:
https://linktr.ee/Milkydew",30625769,1076744,4360,PT20S,vwcLCPjewuM
Skincare Routine For Beginners ✨,Arpita Ghoshal,2023-02-16T11:44:02Z,"#affiliate #notsponsored #beginnersguide #skincare #skincareroutine 
#beginner #skincareproducts #viral #shortsyoutube #shorts 
#viralshorts #trendingshorts #skincareforall #trending 

Products Mentioned:

Simple Kind To Skin Refreshing Facial Wash

Simple Kind To Skin Hydrating Light Moisturiser

Plum 5% Niacinamide Face Serum With Rice Water & Amino Acid Complex

Plum Bulgarian Valley Rose Water Toner

ENN Pucker Hydrating Tinted Lip Mask with 1% Hyaluronic Acid, Shea Butter & Honey

Aqualogica Radiance+ Dewy Sunscreen with Watermelon & Niacinamide - SPF 50+ & PA+++

The Derma Co 1% Hyaluronic Sunscreen Aqua Gel With Spf 50 Pa++++ For Broad Spectrum

Thank you for all your love and support. You mean the world to me.

My Plum Goodness Affiliation Code : ARPITA10  (Get Flat 10% Off)
Link : https://bit.ly/3u2iFhs

RAS Luxury Oils: Use Code  - Arpita10
https://bit.ly/3gAq42h

Just Herbs : ArpitaG15 for flat 15% off
Link: https://bit.ly/3BAsAPK

Dot & Key Website : https://bit.ly/3bpmHvY
Use Code : AARPITA10 (10% off )

Follow me on social media

Snapchat - Appy_09

Instagram – arpita_arg

https://www.instagram.com/arpita_arg/

Facebook profile & Page - Arpita Ghoshal

https://www.facebook.com/aarpita09

https://www.facebook.com/thatpixiegurl/

Disclaimer – I can’t guarantee that all of the make-up and skincare products I recommend will suit you. Please test products out on yourself before purchasing. 
 I do not take the responsibility for any harm or side-effects of the product.

I only feature products I like, or want to try. The products I use in these videos are either purchased by me or sent to me by make-up / skincare companies to use in my professional capacity as a beauty blogger. Some of the links might be affiliation links.

Copyright - Content in the video is solely owned by me (Arpita Ghoshal). Do not use/reproduce content from my videos without prior permission.

**Please do not use any photos or content without permission.**

Contact me – aarpita09@hotmail.com
Xoxo",17877631,522380,2141,PT1M,z82QjQazBY4
PINK SKINCARE ROUTINE 🩷✨ #aesthetic #skincare #asmr #asmrsounds #preppy,Alexis Jacobo,2024-01-14T07:01:13Z,,12732151,483192,2125,PT25S,BogoqKnfG-c
asmr skincare routine 🫧🎀 #satisfying #skincare #pink #aesthetic #asmr #skincareroutine #satisfying,Victoria,2024-02-25T22:40:55Z,,45730505,2135344,8149,PT54S,IR4wgehiGmU
EXTENSIVE SKINCARE ROUTINE 😳🧖🏻‍♀️,Wendyskin,2024-08-26T21:19:57Z,,11955552,458277,2063,PT56S,7xzX8dK5yPE
the CUTEST SKINCARE ROUTINE🥰 #beauty #funny #cosmetics #unboxing #skincare #routinevlog,Candy Superstar,2025-02-22T13:34:58Z,,45427278,675226,1245,PT19S,dym5tL4J2vY
Do my skincare with me,Lowkey.Sophie,2023-04-29T14:07:44Z,,688054,26356,,PT30S,MMkjLB5jJ-s
PINK bubble SLAM DUNK unboxing #skincare #makeup #beauty #preppy,Twinning Together Ash and Rees Family ,2025-05-05T19:51:06Z,Pink bubble skincare slam dunk unboxing #bubbleskincare #skincare #preppy #walmart,92822,690,38,PT8S,DfEedkklMVo
Skincare application order for glowing skin😍✨,Farhin Shaikh,2025-04-12T17:06:05Z,,6886618,62877,162,PT18S,26AnmVvUGgk
How to layer skincare product at night,Yuri Lee,2024-08-13T18:11:06Z,,1293483,45633,442,PT17S,PwGiSZADLDo
told my sister to use anything from my skincare shelf until i realized...,AVA LEE,2022-09-04T18:43:40Z,"Subscribe for short everyday skincare & beauty tips! ✨ 
check out my IG & TIKTOK: GLOWWITHAVA 

━━━  MENTIONED  ━━━
Gold Cream: https://go.shopmy.us/p-512939

━━━ ABOUT ME ━━━

Welcome to my channel! My name is Ava, a Korean native living in NYC. I create content around everything from skincare, beauty and lifestyle on how to stay glowing in and out. Subscribe & join the glow life!

► SUBSCRIBE TO MY CHANNEL

click here to subscribe! https://bit.ly/2PSTeKH

━━━  MY FAVORITES  ━━━

skincare + beauty favs
https://shoplist.us/glowwithava

amazon favs
https://www.amazon.com/shop/glowwithava

#shorts #sisters #goodtaste #skincaretips #puregold #sunscreen #luxuryskincare #luxurybeauty",13575279,637223,1193,PT13S,czR38dLxLuo
Night time Skincare routine for glass skin 🫧non-sponsor video ￼#skincare #glassskin #nightcore,Ana Tamang,2024-01-20T03:37:18Z,,2147442,79450,256,PT44S,UxMxTbT6-O0
Skincare Wrap ✨Travel Edition ✨PM routine #skincare #skincareroutine #medicube,Sharmili Chakraborty,2025-04-12T20:37:43Z,,131637,5402,32,PT1M,pfRjAV7jivU
Damaged Skin Barrier?! Here’s what to do #shorts,Doctorly,2022-03-31T02:30:13Z,"Products mentioned: 
Cica Cream: https://myshlf.us/p-385316
Cica Wash: https://myshlf.us/p-385318

First, shoutout to Kiehl's for sponsoring this video!

Damaged skin barriers are common in the winter and when using too many products in a routine. Try to back off irritating ingredients for a few weeks and focus on hydration and protection! Less is more :)",2658652,78497,674,PT29S,yWxHPzLNsBE
I want to give YOU makeup & skincare products!💕,Brianna Renee,2024-09-14T19:33:31Z,#prhaul #makeup #skincare #makeupcollection #pr #prunboxing,1307125,69607,1263,PT18S,aih5gdFb30w
MY BOYFRIEND’S $1089 SKINCARE ROUTINE 😦💰,Wendyskin,2023-07-07T02:45:34Z,,16315786,772625,2332,PT59S,LHemPJJ-sYY
Highly requested Korean Skincare routine for 15-16yrs🤍 what age next?,milky🥛,2024-10-09T00:07:20Z,What age next? #koreanskincare #skincareroutine #15yrs #16yrs #tweenskincare #asmrskincare #asmr,603218,27700,503,PT21S,XH-tvdtS1nk
Skincare routine 🧼,Laila Paul,2024-08-13T17:00:22Z,,878694,15703,202,PT18S,VzBAe1Yuimg
LUKE TRIES SKINCARE,Kenzie Yolles,2024-10-31T00:23:05Z,,2093742,49773,253,PT1M1S,4aJPmKS7vi8
How to fix your Bubble Slam Dunk moisturizer to pump beautiful flower again #shorts,ii heart beauties,2023-06-19T02:28:05Z,"How to fix your Bubble Slam Dunk Moisturizer to dispense flower instead of a croissant:

1. Use a pointed tool like needle, toothpick etc
2.Remove the silicone topper
3.Clean around the dispenser around
4.Restore the silicone topper
5.Pump it up










#bubbleskincare 
#howto
#beautyhack
#moisturizer 
#skincare 
#skin
#preppy",22126755,762977,1578,PT16S,4062SorjT4k
SKINCARE I REGRET BUYING!😱(follow for more!💗) #beauty #skincareroutine #skincare #skin #beautytips,Matt Randon,2023-06-17T21:26:05Z,,6113840,188948,636,PT24S,qITo58fHMy4
Only use THIS cleanser #chxrryglowy #orien #skincare #cleanser,Chxrryglowy,2025-04-12T12:30:00Z,,18575338,182005,441,PT16S,0JsDVNt-yoI
*ASMR* Morning Skincare routine under 1000 😍 #ishitakhanna,Ishita Khanna,2024-07-20T09:16:47Z,"*sound on* 🔉 

Build a Skincare routine for under 1000₹ 🧴

Products used:
@dotandkey.skincare Barrier Repair Gentle Face Wash 
@dotandkey.skincare Barrier Repair Face Cream

Use my coupon code ISHITA for a discount 

#Ad #Skincare #asmr",667189,15719,96,PT26S,WQwQ2x-N1Ds
The packaging is so cute🎀 especially on expensive skincare & makeup🎀,milky🥛,2025-01-02T16:00:18Z,#skincare #pradalipbalm #pradabeauty #cppartner #lipbalm #relatable #girlhood #soldejaniero #diorbeauty #sulwhasoo #sephorahaul,3563385,126007,1096,PT15S,QSooblErlLo
Easiest 3 Step Skincare Routine for Men?✨#dailyshorts #skincare #mensgrooming #skincareroutine #tip,Allen Choudhary,2024-02-09T08:33:37Z,,3998898,199957,722,PT23S,cgP4SQqxW0k
Our skincare routines are the same but different #skincare #skincareroutine #daughter #sephora,Brianna Roman,2025-04-13T16:52:17Z,"SUBSCRIBE 💖💖💖
⇨ new videos every day🤞🏼


S O C I A L S
TikTok:  @briannawasthere
Instagram:  @briannawasthere



S H O P   L I N K S
Linktree:  https://linktr.ee/Briannawasthere


BUSINESS INQUIRIES
email:  connect@briannaroman.com
  
#shorts #fyp #viral #momlife #mom #daughter #skincare #skincareroutine #sephora",412757,6386,50,PT27S,WG20iOq18ao
WE GO SHOPPING AT SEPHORA 🫧💄🩷 #skincare #makeup #viral,Life As We GOmez,2025-01-15T23:00:20Z,"SHOPPING SPREE!! The girls use the money and gift cards they received from Christmas to buy NEW skincare & makeup 🫧✨

Watch the vlog ▶️ and see what all they got!! 🛍️

#lifeaswegomez #familychannel #vloggers #familyvlog #vlog #shoppingvlog #shopping #shoppingspree #sephora #familyfriendly #trend #trending",800156,12272,323,PT18S,NVUpiZC4VPg
ASMR Pink Evening Skin Care Routine 🎀🧴🩰🪷,Lavish Krish,2024-09-10T14:58:26Z,,15327312,624689,2117,PT50S,1Iu1IH1yh5s
1 Pharmacy Cream for Multiple Skin Concerns ! #skincare #facedecor #bumpychin #openpores,Facedecor,2025-04-11T15:30:20Z,"✅salicylic acid are not to be used everyday.
✅ use only at night pea sized amount 
✅ next day make sure youbwarrbwashingbyourbface and layering your skincare with sunscreen 
✅Results may vary from person to person.
✅This is not sponsored content. All opinions are my own.
✅Always perform a patch test before trying new products.

  Disclaimer 
📌 Facedecor Is Not Liable For Any Consequences Direct Or Indirect
Arising From This Content. Content provided on this channel is for informational purposes only. Information on this channel should not be considered as a substitute for advice from a professional. Always consult your doctor before using any product mentioned above in video since The statements made about specific products throughout this video are not to diagnose, treat, cure or prevent disease.
Products mentioned on my videos are OTC products  and information provided are on the basis of study , my personal use and research available online !",14069105,281764,1014,PT16S,kpo4cgzZ_ZE
Turning my LANEIGE LIP MASK into LIPGLOSS! 😱💄 *DIY Skincare*,It’Sarah 💜,2025-01-20T21:31:57Z,"Turning my LANEIGE LIP MASK into LIPGLOSS! 😱💄 *DIY Skincare*

In this skincare shorts, I turn my laneige lip sleeping mask into lip gloss. I depot laneige lip mask. This is a viral YouTube shorts trend & skincare routine, makeup hacks, and beauty tips. This is funny shorts trend. You can shop for these viral makeup skin care products at Sephora, Target, Ulta, and amazon. This is an easy DIY craft tutorial, DIY crafts.

#laneige #shorts #diy #craft #short #skincare #hack #diycrafts #lipcare 

Fidgets shop: https://chillinwithrachel.com",4089203,85731,830,PT28S,4w4Ose-gbZo
what’s your favorite skincare brand?? 🍭💕💐 #lisi #lisishops,Lisi Shops,2025-04-14T16:29:15Z,"#skincare #glowing #glowy #byoma #theordinary #prepy #preppygirl #skincareroutine #skincaretips #drunkelephant #aesthetic #rhode #haileyrhodebieber #vanity #vanitymakeup#vanitybag 

B my BESTIE and SUBSCRIBE❤️❤️❤️
⇨ new videos every hour!…or day.....or week:)

❤️Please follow me on all my socials❤️

MEET MY NEW BRAND | Bun & Covy !!!!

SIGN UP TO WIN FREE BUN AND COVY FUN SOCKS AT:

www.BunandCovy.com
..........

S O C I A L S!
TikTok:  https://www.tiktok.com/@lisi.shops
Instagram:  https://www.instagram.com/lisi.shops
Pinterest:  https://www.pinterest.com/lisishops293

SHOPPING!
Linktree:  https://www.lisishops.com
LTK: https://www.shopltk.com/explore/Lisi.shops
Amazon:  https://www.amazon.com/shop/lisi.shops

..........

BUSINESS INQUIRIES
email:  collab@lisishops.com

PR AND FAN MAIL: email us a request for mailing address",1435631,48535,2946,PT1M2S,DbWGHtavQeI
Our 9yr old’s nighttime skincare routine,Butler Family Functions,2024-08-20T03:32:04Z,,811152,28230,344,PT1M1S,GqoMkJmnb1E
SPOT THE DIFFERENCE SKINCARE EDITION ✨,Theskimaskbarbie,2024-07-21T01:23:34Z,,1809520,31878,3700,PT5S,4DjV2Y6uOm8
